Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall,Gender
1996,151572,157866,156660,153140,170987,198148,208113,194993,171653,178707,150416,141327,136725,130752,119202,93274,70234,61401,2645170,Female
1997,147807,157868,156891,155799,161928,192860,208070,198364,175847,171353,160918,141149,136071,130969,117576,97171,68085,62292,2641018,Female
1998,144473,156698,158039,157074,156062,185245,206727,201876,180496,168388,166541,142735,136893,130651,116942,100500,65328,63411,2638079,Female
1999,141405,155695,158367,157046,154856,177069,203848,204986,185035,167774,170435,144492,137680,129767,116571,103461,62795,64133,2635415,Female
2000,137757,153159,157208,157133,155625,169648,199590,207731,189629,168467,174284,145221,137906,129230,116918,100346,66141,65021,2631014,Female
2001,134489,149458,157184,156472,157686,161764,197055,208542,194330,170983,176945,148159,136929,129209,116938,99422,69156,65746,2630467,Female
2002,131719,146400,157736,156881,161589,153695,192650,208722,197789,175449,170035,158794,137035,128794,117880,98102,72484,64611,2630365,Female
2003,129576,144067,156860,157803,164278,149119,185992,207450,201623,179910,167499,164419,138810,129741,117995,97600,75005,62665,2630412,Female
2004,128863,142152,156510,158923,165819,149526,178771,205359,205266,184817,167217,168793,140927,130674,117626,97652,77262,61540,2637697,Female
2005,129734,140015,154694,159033,169476,152614,172847,202001,209091,189436,168303,172930,141939,131040,117509,98434,75252,64578,2648926,Female
2006,130670,138053,152056,160128,170839,157060,165634,200121,210001,193824,170869,175738,144757,130113,117592,98631,74562,67288,2657936,Female
2007,133585,135271,149745,162288,172373,164747,159242,196968,210690,197852,175402,169060,155515,130378,117698,99946,73910,68771,2673441,Female
2008,137384,133088,147855,162790,174442,170009,156154,191228,209918,202178,179717,166512,161187,132197,118855,100452,73898,69738,2687602,Female
2009,140300,131679,145949,164141,175465,172396,157161,184203,207697,205762,184324,165825,165345,134056,119853,100536,74395,70844,2699931,Female
2010,142572,131781,143635,163622,177824,174393,159844,178309,204332,209395,188384,166857,169042,135106,120258,101123,75481,72024,2713982,Female
2011,143840,132307,141500,160460,183485,175957,164142,171632,202791,210561,192620,169164,171835,137998,119703,101756,76214,73635,2729600,Female
2012,144803,134461,137510,155874,186591,176443,169629,163842,199275,210727,196461,173087,164836,148395,119914,102192,77713,74557,2736310,Female
2013,143844,138066,134500,152821,185841,178114,173699,159868,192932,209770,200575,177057,162302,153782,121528,103313,78069,74939,2741020,Female
2014,142519,141394,132860,150211,185064,180621,175793,160184,185608,207820,204216,181608,161697,157939,123448,104452,78821,76815,2751070,Female
